program_name_and_version,EnergyPlus 9.2.0
program_version_release_date,9/27/2019
program_name_short,E+
results_submission_date,04/18/2019
organization,National Renewable Energy Laboratory
organization_short,NREL
CE100 clg_energy_consumption_total,1519.93
CE100 clg_energy_consumption_supply_fan,143.554
CE100 evaporator_coil_load_total,3796.59
CE100 evaporator_coil_load_sensible,3796.59
CE100 evaporator_coil_load_latent,2.4329e-13
CE100 zone_load_total,3653.04
CE100 zone_load_sensible,3653.04
CE100 zone_load_latent,2.25327e-13
CE100 feb_mean_cop,2.40342
CE100 feb_mean_idb,22.21
CE100 feb_mean_humidity_ratio,0.00745617
CE100 feb_max_cop,2.40543
CE100 feb_max_idb,22.212
CE100 feb_max_humidity_ratio,0.00745617
CE100 feb_min_cop,2.39775
CE100 feb_min_idb,22.2096
CE100 feb_min_humidity_ratio,0.00745617
CE110 clg_energy_consumption_total,1069.31
CE110 clg_energy_consumption_supply_fan,127.59
CE110 evaporator_coil_load_total,3762.63
CE110 evaporator_coil_load_sensible,3762.63
CE110 evaporator_coil_load_latent,1.98952e-13
CE110 zone_load_total,3635.05
CE110 zone_load_sensible,3635.05
CE110 zone_load_latent,2.15095e-13
CE110 feb_mean_cop,3.39943
CE110 feb_mean_idb,22.2
CE110 feb_mean_humidity_ratio,0.00656148
CE110 feb_max_cop,3.40222
CE110 feb_max_idb,22.2
CE110 feb_max_humidity_ratio,0.00656148
CE110 feb_min_cop,3.39356
CE110 feb_min_idb,22.2
CE110 feb_min_humidity_ratio,0.00656148
CE120 clg_energy_consumption_total,1006.62
CE120 clg_energy_consumption_supply_fan,116.435
CE120 evaporator_coil_load_total,3746.33
CE120 evaporator_coil_load_sensible,3746.33
CE120 evaporator_coil_load_latent,1.92131e-13
CE120 zone_load_total,3629.9
CE120 zone_load_sensible,3629.9
CE120 zone_load_latent,1.91449e-13
CE120 feb_mean_cop,3.60603
CE120 feb_mean_idb,26.7001
CE120 feb_mean_humidity_ratio,0.00801151
CE120 feb_max_cop,3.60903
CE120 feb_max_idb,26.7001
CE120 feb_max_humidity_ratio,0.00801151
CE120 feb_min_cop,3.59982
CE120 feb_min_idb,26.7001
CE120 feb_min_humidity_ratio,0.00801151
CE130 clg_energy_consumption_total,108.089
CE130 clg_energy_consumption_supply_fan,10.2086
CE130 evaporator_coil_load_total,215.902
CE130 evaporator_coil_load_sensible,215.902
CE130 evaporator_coil_load_latent,1.2875e-14
CE130 zone_load_total,205.693
CE130 zone_load_sensible,205.693
CE130 zone_load_latent,1.21361e-14
CE130 feb_mean_cop,1.90299
CE130 feb_mean_idb,22.2001
CE130 feb_mean_humidity_ratio,0.00745822
CE130 feb_max_cop,1.90535
CE130 feb_max_idb,22.2001
CE130 feb_max_humidity_ratio,0.00745822
CE130 feb_min_cop,1.89704
CE130 feb_min_idb,22.2001
CE130 feb_min_humidity_ratio,0.00745822
CE140 clg_energy_consumption_total,67.7522
CE140 clg_energy_consumption_supply_fan,8.08346
CE140 evaporator_coil_load_total,195.769
CE140 evaporator_coil_load_sensible,195.769
CE140 evaporator_coil_load_latent,1.16245e-14
CE140 zone_load_total,187.685
CE140 zone_load_sensible,187.685
CE140 zone_load_latent,9.67759e-15
CE140 feb_mean_cop,2.77017
CE140 feb_mean_idb,22.2001
CE140 feb_mean_humidity_ratio,0.00656721
CE140 feb_max_cop,2.77351
CE140 feb_max_idb,22.2001
CE140 feb_max_humidity_ratio,0.00656721
CE140 feb_min_cop,2.7637
CE140 feb_min_idb,22.2001
CE140 feb_min_humidity_ratio,0.00656721
CE150 clg_energy_consumption_total,1197.6
CE150 clg_energy_consumption_supply_fan,140.347
CE150 evaporator_coil_load_total,4508.27
CE150 evaporator_coil_load_sensible,3769.07
CE150 evaporator_coil_load_latent,739.201
CE150 zone_load_total,4367.92
CE150 zone_load_sensible,3635.07
CE150 zone_load_latent,732.853
CE150 feb_mean_cop,3.64723
CE150 feb_mean_idb,22.1773
CE150 feb_mean_humidity_ratio,0.0083959
CE150 feb_max_cop,3.65169
CE150 feb_max_idb,22.1781
CE150 feb_max_humidity_ratio,0.00841621
CE150 feb_min_cop,3.64194
CE150 feb_min_idb,22.1761
CE150 feb_min_humidity_ratio,0.00832424
CE160 clg_energy_consumption_total,1132.21
CE160 clg_energy_consumption_supply_fan,128.378
CE160 evaporator_coil_load_total,4490.47
CE160 evaporator_coil_load_sensible,3751.27
CE160 evaporator_coil_load_latent,739.201
CE160 zone_load_total,4362.09
CE160 zone_load_sensible,3629.93
CE160 zone_load_latent,732.163
CE160 feb_mean_cop,3.85271
CE160 feb_mean_idb,26.6724
CE160 feb_mean_humidity_ratio,0.0102408
CE160 feb_max_cop,3.85743
CE160 feb_max_idb,26.675
CE160 feb_max_humidity_ratio,0.0102691
CE160 feb_min_cop,3.84736
CE160 feb_min_idb,26.6698
