program_name_and_version,EnergyPlus 9.3.0
program_version_release_date,03/27/2020
program_name_short,E+
results_submission_date,05/19/2020
organization,National Renewable Energy Laboratory
organization_short,NREL
CE180 evaporator_coil_load_sensible,1523.92
CE180 evaporator_coil_load_latent,2956.81
CE180 zone_load_total,4362.26
CE180 zone_load_sensible,1417.49
CE180 zone_load_latent,2944.77
CE180 feb_mean_cop,4.03054
CE180 feb_mean_idb,22.1571
CE180 feb_mean_humidity_ratio,0.0161617
CE180 feb_max_cop,4.03618
CE180 feb_max_idb,22.1582
CE180 feb_max_humidity_ratio,0.0162004
CE180 feb_min_cop,4.02408
CE180 feb_min_idb,22.1549
CE180 feb_min_humidity_ratio,0.0160426
CE185 clg_energy_consumption_total,1540.49
CE185 clg_energy_consumption_supply_fan,139.134
CE185 evaporator_coil_load_total,4521.44
CE185 evaporator_coil_load_sensible,1564.63
CE185 evaporator_coil_load_latent,2956.81
CE185 zone_load_total,4382.31
CE185 zone_load_sensible,1435.49
CE185 zone_load_latent,2946.82
CE185 feb_mean_cop,2.84474
CE185 feb_mean_idb,22.1672
CE185 feb_mean_humidity_ratio,0.0160493
CE185 feb_max_cop,2.85022
CE185 feb_max_idb,22.1678
CE185 feb_max_humidity_ratio,0.0161166
CE185 feb_min_cop,2.83683
CE185 feb_min_idb,22.1628
CE185 feb_min_humidity_ratio,0.0159241
CE190 clg_energy_consumption_total,164.144
CE190 clg_energy_consumption_supply_fan,18.0097
CE190 evaporator_coil_load_total,573.758
CE190 evaporator_coil_load_sensible,204.153
CE190 evaporator_coil_load_latent,369.605
CE190 zone_load_total,555.749
CE190 zone_load_sensible,187.691
CE190 zone_load_latent,368.057
CE190 feb_mean_cop,3.38575
CE190 feb_mean_idb,22.1947
CE190 feb_mean_humidity_ratio,0.0158685
CE190 feb_max_cop,3.3961
CE190 feb_max_idb,22.1948
CE190 feb_max_humidity_ratio,0.0161048
CE190 feb_min_cop,3.37553
CE190 feb_min_idb,22.1946
CE190 feb_min_humidity_ratio,0.0157091
CE195 clg_energy_consumption_total,249.67
CE195 clg_energy_consumption_supply_fan,22.6072
CE195 evaporator_coil_load_total,596.586
CE195 evaporator_coil_load_sensible,226.963
CE195 evaporator_coil_load_latent,369.623
CE195 zone_load_total,573.978
CE195 zone_load_sensible,205.698
CE195 zone_load_latent,368.28
CE195 feb_mean_cop,2.29895
CE195 feb_mean_idb,22.1959
CE195 feb_mean_humidity_ratio,0.0154658
CE195 feb_max_cop,2.31631
CE195 feb_max_idb,22.196
CE195 feb_max_humidity_ratio,0.0159063
CE195 feb_min_cop,2.28844
CE195 feb_min_idb,22.1956
CE195 feb_min_humidity_ratio,0.0152991
CE200 clg_energy_consumption_total,1465.06
CE200 clg_energy_consumption_supply_fan,153.44
CE200 evaporator_coil_load_total,5483.79
CE200 evaporator_coil_load_sensible,4262.76
CE200 evaporator_coil_load_latent,1221.03
CE200 zone_load_total,5330.35
CE200 zone_load_sensible,4119.83
CE200 zone_load_latent,1210.51
CE200 feb_mean_cop,3.63832
CE200 feb_mean_idb,26.6638
CE200 feb_mean_humidity_ratio,0.0114174
CE200 feb_max_cop,3.64361
CE200 feb_max_idb,26.6651
CE200 feb_max_humidity_ratio,0.011446
CE200 feb_min_cop,3.63266
CE200 feb_min_idb,26.6626
CE200 feb_min_humidity_ratio,0.0113209
CE300 ann_sum_clg_energy_consumption_total,35021.6
CE300 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE300 ann_sum_evap_coil_load_total,78335.1
CE300 ann_sum_evap_coil_load_sensible,55165.4
CE300 ann_sum_evap_coil_load_latent,23169.7
CE300 ann_mean_cop_2,3.24241
CE300 ann_mean_idb,24.0888
CE300 ann_mean_zone_humidity_ratio,0.00916508
CE300 ann_mean_zone_relative_humidity,47.944
CE300 ann_mean_odb,19.9141
CE300 ann_mean_outdoor_humidity_ratio,0.0116079
CE310 ann_sum_clg_energy_consumption_total,39432.1
CE310 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE310 ann_sum_evap_coil_load_total,97349.9
CE310 ann_sum_evap_coil_load_sensible,55065.2
CE310 ann_sum_evap_coil_load_latent,42284.7
CE310 ann_mean_cop_2,3.40741
CE310 ann_mean_idb,24.0911
CE310 ann_mean_zone_humidity_ratio,0.0111532
CE310 ann_mean_zone_relative_humidity,57.9607
CE320 ann_sum_clg_energy_consumption_total,39374.5
CE320 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE320 ann_sum_evap_coil_load_total,97445.7
CE320 ann_sum_evap_coil_load_sensible,61755.5
CE320 ann_sum_evap_coil_load_latent,35690.2
CE320 ann_mean_cop_2,3.41766
CE320 ann_mean_idb,24.2324
CE320 ann_mean_zone_humidity_ratio,0.0100364
CE320 ann_mean_zone_relative_humidity,51.4506
CE330 ann_sum_clg_energy_consumption_total,40468.7
CE330 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE330 ann_sum_evap_coil_load_total,103824
CE330 ann_sum_evap_coil_load_sensible,63078.1
CE330 ann_sum_evap_coil_load_latent,40746.1
CE330 ann_mean_cop_2,3.5068
CE330 ann_mean_idb,24.2952
CE330 ann_mean_zone_humidity_ratio,0.0098802
CE330 ann_mean_zone_relative_humidity,50.6052
CE340 ann_sum_clg_energy_consumption_total,40071.1
CE340 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE340 ann_sum_evap_coil_load_total,101146
CE340 ann_sum_evap_coil_load_sensible,62395.2
CE340 ann_sum_evap_coil_load_latent,38750.5
CE340 ann_mean_cop_2,3.46282
CE340 ann_mean_idb,24.3104
CE340 ann_mean_zone_humidity_ratio,0.00990174
CE340 ann_mean_zone_relative_humidity,50.646
CE350 ann_sum_clg_energy_consumption_total,31373.8
CE350 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE350 ann_sum_evap_coil_load_total,66597.5
CE350 ann_sum_evap_coil_load_sensible,48333.4
CE350 ann_sum_evap_coil_load_latent,18264.1
CE350 ann_mean_cop_2,3.2468
CE350 ann_mean_idb,26.2365
CE350 ann_mean_zone_humidity_ratio,0.00979599
CE350 ann_mean_zone_relative_humidity,44.5934
CE360 ann_sum_clg_energy_consumption_total,54946.5
CE360 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE360 ann_sum_evap_coil_load_total,162241
CE360 ann_sum_evap_coil_load_sensible,134722
CE360 ann_sum_evap_coil_load_latent,27519.8
CE360 ann_mean_cop_2,3.68025
CE360 ann_mean_idb,25.4269
CE360 ann_mean_zone_humidity_ratio,0.0086038
CE360 ann_mean_zone_relative_humidity,41.3634
CE400 ann_sum_clg_energy_consumption_total,30755.6
CE400 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE400 ann_sum_evap_coil_load_total,64044.6
CE400 ann_sum_evap_coil_load_sensible,41885.9
CE400 ann_sum_evap_coil_load_latent,22158.7
CE400 ann_mean_cop_2,3.21937
CE400 ann_mean_idb,23.1733
CE400 ann_mean_zone_humidity_ratio,0.00976683
CE400 ann_mean_zone_relative_humidity,53.6893
CE410 ann_sum_clg_energy_consumption_total,30755.6
CE410 ann_sum_clg_energy_consumption_supply_fan,10862.1
