program_name_and_version,EnergyPlus 9.1.0
program_version_release_date,3/31/2019
program_name_short,E+
results_submission_date,04/15/2019
organization,National Renewable Energy Laboratory
organization_short,NREL
CE100 clg_energy_consumption_total,1519.93
CE100 clg_energy_consumption_supply_fan,143.554
CE100 evaporator_coil_load_total,3796.59
CE100 evaporator_coil_load_sensible,3796.59
CE100 evaporator_coil_load_latent,2.41243e-13
CE100 zone_load_total,3653.04
CE100 zone_load_sensible,3653.04
CE100 zone_load_latent,2.25555e-13
CE100 feb_mean_cop,2.40342
CE100 feb_mean_idb,22.21
CE100 feb_mean_humidity_ratio,0.00745617
CE100 feb_max_cop,2.40543
CE100 feb_max_idb,22.212
CE100 feb_max_humidity_ratio,0.00745617
CE100 feb_min_cop,2.39775
CE100 feb_min_idb,22.2096
CE100 feb_min_humidity_ratio,0.00745617
CE110 clg_energy_consumption_total,1069.31
CE110 clg_energy_consumption_supply_fan,127.59
CE110 evaporator_coil_load_total,3762.63
CE110 evaporator_coil_load_sensible,3762.63
CE110 evaporator_coil_load_latent,2.1123e-13
CE110 zone_load_total,3635.05
CE110 zone_load_sensible,3635.05
CE110 zone_load_latent,2.01453e-13
CE110 feb_mean_cop,3.39943
CE110 feb_mean_idb,22.2
CE110 feb_mean_humidity_ratio,0.00656148
CE110 feb_max_cop,3.40222
CE110 feb_max_idb,22.2
CE110 feb_max_humidity_ratio,0.00656148
CE110 feb_min_cop,3.39356
CE110 feb_min_idb,22.2
CE110 feb_min_humidity_ratio,0.00656148
CE120 clg_energy_consumption_total,1006.62
CE120 clg_energy_consumption_supply_fan,116.435
CE120 evaporator_coil_load_total,3746.33
CE120 evaporator_coil_load_sensible,3746.33
CE120 evaporator_coil_load_latent,1.90539e-13
CE120 zone_load_total,3629.9
CE120 zone_load_sensible,3629.9
CE120 zone_load_latent,1.50067e-13
CE120 feb_mean_cop,3.60603
CE120 feb_mean_idb,26.7001
CE120 feb_mean_humidity_ratio,0.00801151
CE120 feb_max_cop,3.60903
CE120 feb_max_idb,26.7001
CE120 feb_max_humidity_ratio,0.00801151
CE120 feb_min_cop,3.59982
CE120 feb_min_idb,26.7001
CE120 feb_min_humidity_ratio,0.00801151
CE130 clg_energy_consumption_total,108.089
CE130 clg_energy_consumption_supply_fan,10.2086
CE130 evaporator_coil_load_total,215.902
CE130 evaporator_coil_load_sensible,215.902
CE130 evaporator_coil_load_latent,1.33866e-14
CE130 zone_load_total,205.693
CE130 zone_load_sensible,205.693
CE130 zone_load_latent,1.26619e-14
CE130 feb_mean_cop,1.90299
CE130 feb_mean_idb,22.2001
CE130 feb_mean_humidity_ratio,0.00745822
CE130 feb_max_cop,1.90535
CE130 feb_max_idb,22.2001
CE130 feb_max_humidity_ratio,0.00745822
CE130 feb_min_cop,1.89704
CE130 feb_min_idb,22.2001
CE130 feb_min_humidity_ratio,0.00745822
CE140 clg_energy_consumption_total,67.7522
CE140 clg_energy_consumption_supply_fan,8.08346
CE140 evaporator_coil_load_total,195.769
CE140 evaporator_coil_load_sensible,195.769
CE140 evaporator_coil_load_latent,1.17808e-14
CE140 zone_load_total,187.685
CE140 zone_load_sensible,187.685
CE140 zone_load_latent,9.15179e-15
CE140 feb_mean_cop,2.77017
CE140 feb_mean_idb,22.2001
CE140 feb_mean_humidity_ratio,0.00656721
CE140 feb_max_cop,2.77351
CE140 feb_max_idb,22.2001
CE140 feb_max_humidity_ratio,0.00656721
CE140 feb_min_cop,2.7637
CE140 feb_min_idb,22.2001
CE140 feb_min_humidity_ratio,0.00656721
CE150 clg_energy_consumption_total,1197.6
CE150 clg_energy_consumption_supply_fan,140.347
CE150 evaporator_coil_load_total,4508.27
CE150 evaporator_coil_load_sensible,3769.07
CE150 evaporator_coil_load_latent,739.201
CE150 zone_load_total,4367.92
CE150 zone_load_sensible,3635.07
CE150 zone_load_latent,732.853
CE150 feb_mean_cop,3.64723
CE150 feb_mean_idb,22.1773
CE150 feb_mean_humidity_ratio,0.0083959
CE150 feb_max_cop,3.65169
CE150 feb_max_idb,22.1781
CE150 feb_max_humidity_ratio,0.00841621
CE150 feb_min_cop,3.64194
CE150 feb_min_idb,22.1761
CE150 feb_min_humidity_ratio,0.00832424
CE160 clg_energy_consumption_total,1132.21
CE160 clg_energy_consumption_supply_fan,128.378
CE160 evaporator_coil_load_total,4490.47
CE160 evaporator_coil_load_sensible,3751.27
CE160 evaporator_coil_load_latent,739.201
CE160 zone_load_total,4362.09
CE160 zone_load_sensible,3629.93
CE160 zone_load_latent,732.163
CE160 feb_mean_cop,3.85271
CE160 feb_mean_idb,26.6724
CE160 feb_mean_humidity_ratio,0.0102408
CE160 feb_max_cop,3.85743
CE160 feb_max_idb,26.675
CE160 feb_max_humidity_ratio,0.0102691
CE160 feb_min_cop,3.84736
CE160 feb_min_idb,26.6698
CE160 feb_min_humidity_ratio,0.010153
CE165 clg_energy_consumption_total,1491.44
CE165 clg_energy_consumption_supply_fan,148.596
CE165 evaporator_coil_load_total,4527.79
CE165 evaporator_coil_load_sensible,3788.59
CE165 evaporator_coil_load_latent,739.201
CE165 zone_load_total,4379.19
CE165 zone_load_sensible,3645.9
CE165 zone_load_latent,733.296
CE165 feb_mean_cop,2.93622
CE165 feb_mean_idb,23.2859
CE165 feb_mean_humidity_ratio,0.00936971
CE165 feb_max_cop,2.94058
CE165 feb_max_idb,23.2867
CE165 feb_max_humidity_ratio,0.00939333
CE165 feb_min_cop,2.93067
CE165 feb_min_idb,23.2824
CE165 feb_min_humidity_ratio,0.00928822
CE170 clg_energy_consumption_total,635.481
CE170 clg_energy_consumption_supply_fan,73.0367
CE170 evaporator_coil_load_total,2224.37
CE170 evaporator_coil_load_sensible,1485.17
CE170 evaporator_coil_load_latent,739.201
CE170 zone_load_total,2151.33
CE170 zone_load_sensible,1417.47
CE170 zone_load_latent,733.868
CE170 feb_mean_cop,3.38536
CE170 feb_mean_idb,22.1811
CE170 feb_mean_humidity_ratio,0.0105507
CE170 feb_max_cop,3.38919
CE170 feb_max_idb,22.1817
CE170 feb_max_humidity_ratio,0.0105826
CE170 feb_min_cop,3.37906
CE170 feb_min_idb,22.1802
CE170 feb_min_humidity_ratio,0.0104653
CE180 clg_energy_consumption_total,1082.31
CE180 clg_energy_consumption_supply_fan,118.462
CE180 evaporator_coil_load_total,4480.72
CE180 evaporator_coil_load_sensible,1523.92
CE180 evaporator_coil_load_latent,2956.81
CE180 zone_load_total,4362.26
CE180 zone_load_sensible,1417.49
CE180 zone_load_latent,2944.77
CE180 feb_mean_cop,4.0305
CE180 feb_mean_idb,22.1571
CE180 feb_mean_humidity_ratio,0.0161617
CE180 feb_max_cop,4.03615
CE180 feb_max_idb,22.1582
CE180 feb_max_humidity_ratio,0.0162005
CE180 feb_min_cop,4.02403
CE180 feb_min_idb,22.1549
CE180 feb_min_humidity_ratio,0.0160426
CE185 clg_energy_consumption_total,1540.52
CE185 clg_energy_consumption_supply_fan,139.137
CE185 evaporator_coil_load_total,4521.44
CE185 evaporator_coil_load_sensible,1564.63
CE185 evaporator_coil_load_latent,2956.81
CE185 zone_load_total,4382.31
CE185 zone_load_sensible,1435.49
CE185 zone_load_latent,2946.82
CE185 feb_mean_cop,2.8447
CE185 feb_mean_idb,22.1672
CE185 feb_mean_humidity_ratio,0.0160493
CE185 feb_max_cop,2.85018
CE185 feb_max_idb,22.1678
CE185 feb_max_humidity_ratio,0.0161167
CE185 feb_min_cop,2.83678
CE185 feb_min_idb,22.1628
CE185 feb_min_humidity_ratio,0.0159241
CE190 clg_energy_consumption_total,164.147
CE190 clg_energy_consumption_supply_fan,18.0103
CE190 evaporator_coil_load_total,573.759
CE190 evaporator_coil_load_sensible,204.154
CE190 evaporator_coil_load_latent,369.605
CE190 zone_load_total,555.748
CE190 zone_load_sensible,187.691
CE190 zone_load_latent,368.057
CE190 feb_mean_cop,3.38568
CE190 feb_mean_idb,22.1947
CE190 feb_mean_humidity_ratio,0.0158685
CE190 feb_max_cop,3.39607
CE190 feb_max_idb,22.1948
CE190 feb_max_humidity_ratio,0.0161053
CE190 feb_min_cop,3.37544
CE190 feb_min_idb,22.1946
CE190 feb_min_humidity_ratio,0.0157092
CE195 clg_energy_consumption_total,249.68
CE195 clg_energy_consumption_supply_fan,22.6083
CE195 evaporator_coil_load_total,596.587
CE195 evaporator_coil_load_sensible,226.964
CE195 evaporator_coil_load_latent,369.623
CE195 zone_load_total,573.978
CE195 zone_load_sensible,205.698
CE195 zone_load_latent,368.281
CE195 feb_mean_cop,2.29886
CE195 feb_mean_idb,22.1959
CE195 feb_mean_humidity_ratio,0.0154658
CE195 feb_max_cop,2.31627
CE195 feb_max_idb,22.196
CE195 feb_max_humidity_ratio,0.015907
CE195 feb_min_cop,2.28834
CE195 feb_min_idb,22.1956
CE195 feb_min_humidity_ratio,0.0152991
CE200 clg_energy_consumption_total,1465.33
CE200 clg_energy_consumption_supply_fan,153.484
CE200 evaporator_coil_load_total,5483.83
CE200 evaporator_coil_load_sensible,4262.81
CE200 evaporator_coil_load_latent,1221.03
CE200 zone_load_total,5330.35
CE200 zone_load_sensible,4119.83
CE200 zone_load_latent,1210.52
CE200 feb_mean_cop,3.63765
CE200 feb_mean_idb,26.6638
CE200 feb_mean_humidity_ratio,0.0114198
CE200 feb_max_cop,3.64294
CE200 feb_max_idb,26.6651
CE200 feb_max_humidity_ratio,0.0114485
CE200 feb_min_cop,3.63198
CE200 feb_min_idb,26.6625
CE200 feb_min_humidity_ratio,0.0113234
CE300 ann_sum_clg_energy_consumption_total,34997.3
CE300 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE300 ann_sum_evap_coil_load_total,78252.3
CE300 ann_sum_evap_coil_load_sensible,55131.2
CE300 ann_sum_evap_coil_load_latent,23121
CE300 ann_mean_cop_2,3.24224
CE300 ann_mean_idb,24.1
CE300 ann_mean_zone_humidity_ratio,0.00917144
CE300 ann_mean_zone_relative_humidity,47.9548
CE300 ann_mean_odb,19.9141
CE300 ann_mean_outdoor_humidity_ratio,0.0116079
CE310 ann_sum_clg_energy_consumption_total,39392.8
CE310 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE310 ann_sum_evap_coil_load_total,97211.1
CE310 ann_sum_evap_coil_load_sensible,55030.9
CE310 ann_sum_evap_coil_load_latent,42180.1
CE310 ann_mean_cop_2,3.40725
CE310 ann_mean_idb,24.1023
