name,_id,run_start_time,run_end_time,status,status_message,bestest_space_cooling_equipment_performance_tests.case_num,bestest_ce_reporting.0430_day_cop2,bestest_ce_reporting.0430_day_edb,bestest_ce_reporting.0430_day_energy_consumption_compressor,bestest_ce_reporting.0430_day_energy_consumption_condenser_fan,bestest_ce_reporting.0430_day_energy_consumption_supply_fan,bestest_ce_reporting.0430_day_energy_consumption_total,bestest_ce_reporting.0430_day_evaporator_coil_load_latent,bestest_ce_reporting.0430_day_evaporator_coil_load_sensible,bestest_ce_reporting.0430_day_evaporator_coil_load_total,bestest_ce_reporting.0430_day_odb,bestest_ce_reporting.0430_day_zone_humidity_ratio,bestest_ce_reporting.0625_day_cop2,bestest_ce_reporting.0625_day_edb,bestest_ce_reporting.0625_day_energy_consumption_compressor,bestest_ce_reporting.0625_day_energy_consumption_condenser_fan,bestest_ce_reporting.0625_day_energy_consumption_supply_fan,bestest_ce_reporting.0625_day_energy_consumption_total,bestest_ce_reporting.0625_day_evaporator_coil_load_latent,bestest_ce_reporting.0625_day_evaporator_coil_load_sensible,bestest_ce_reporting.0625_day_evaporator_coil_load_total,bestest_ce_reporting.0625_day_odb,bestest_ce_reporting.0625_day_zone_humidity_ratio,bestest_ce_reporting.0628_hourly_cop2,bestest_ce_reporting.0628_hourly_edb,bestest_ce_reporting.0628_hourly_energy_consumpton_compressor,bestest_ce_reporting.0628_hourly_energy_consumpton_cond_fan,bestest_ce_reporting.0628_hourly_evaporator_coil_load_latent,bestest_ce_reporting.0628_hourly_evaporator_coil_load_sensible,bestest_ce_reporting.0628_hourly_evaporator_coil_load_total,bestest_ce_reporting.0628_hourly_ewb,bestest_ce_reporting.0628_hourly_odb,bestest_ce_reporting.0628_hourly_outdoor_humidity_ratio,bestest_ce_reporting.0628_hourly_zone_humidity_ratio,bestest_ce_reporting.ann_mean_cop2,bestest_ce_reporting.ann_mean_idb,bestest_ce_reporting.ann_mean_odb,bestest_ce_reporting.ann_mean_outdoor_humidity_ratio,bestest_ce_reporting.ann_mean_zone_humidity_ratio,bestest_ce_reporting.ann_mean_zone_relative_humidity,bestest_ce_reporting.ann_sum_clg_energy_consumption_compressor,bestest_ce_reporting.ann_sum_clg_energy_consumption_condenser_fan,bestest_ce_reporting.ann_sum_clg_energy_consumption_supply_fan,bestest_ce_reporting.ann_sum_clg_energy_consumption_total,bestest_ce_reporting.ann_sum_evap_coil_load_latent,bestest_ce_reporting.ann_sum_evap_coil_load_sensible,bestest_ce_reporting.ann_sum_evap_coil_load_total,bestest_ce_reporting.clg_energy_consumption_compressor,bestest_ce_reporting.clg_energy_consumption_condenser_fan,bestest_ce_reporting.clg_energy_consumption_supply_fan,bestest_ce_reporting.clg_energy_consumption_total,bestest_ce_reporting.cop2_max_cop2,bestest_ce_reporting.cop2_max_date,bestest_ce_reporting.cop2_max_hr,bestest_ce_reporting.cop2_min_cop2,bestest_ce_reporting.cop2_min_date,bestest_ce_reporting.cop2_min_hr,bestest_ce_reporting.energy_consumption_comp_both_fans_date,bestest_ce_reporting.energy_consumption_comp_both_fans_hr,bestest_ce_reporting.energy_consumption_comp_both_fans_wh,bestest_ce_reporting.evap_coil_load_latent_date,bestest_ce_reporting.evap_coil_load_latent_hr,bestest_ce_reporting.evap_coil_load_latent_wh,bestest_ce_reporting.evap_coil_load_sensible_and_latent_date,bestest_ce_reporting.evap_coil_load_sensible_and_latent_hr,bestest_ce_reporting.evap_coil_load_sensible_and_latent_wh,bestest_ce_reporting.evap_coil_load_sensible_date,bestest_ce_reporting.evap_coil_load_sensible_hr,bestest_ce_reporting.evap_coil_load_sensible_wh,bestest_ce_reporting.evaporator_coil_load_latent,bestest_ce_reporting.evaporator_coil_load_sensible,bestest_ce_reporting.evaporator_coil_load_total,bestest_ce_reporting.feb_max_cop,bestest_ce_reporting.feb_max_humidity_ratio,bestest_ce_reporting.feb_max_idb,bestest_ce_reporting.feb_mean_cop,bestest_ce_reporting.feb_mean_humidity_ratio,bestest_ce_reporting.feb_mean_idb,bestest_ce_reporting.feb_min_cop,bestest_ce_reporting.feb_min_humidity_ratio,bestest_ce_reporting.feb_min_idb,bestest_ce_reporting.hr_max_date,bestest_ce_reporting.hr_max_hr,bestest_ce_reporting.hr_max_humidity_ratio,bestest_ce_reporting.hr_min_date,bestest_ce_reporting.hr_min_hr,bestest_ce_reporting.hr_min_humidity_ratio,bestest_ce_reporting.idb_max_date,bestest_ce_reporting.idb_max_hr,bestest_ce_reporting.idb_max_idb,bestest_ce_reporting.idb_min_date,bestest_ce_reporting.idb_min_hr,bestest_ce_reporting.idb_min_idb,bestest_ce_reporting.may_sept_mean_cop2,bestest_ce_reporting.may_sept_mean_idb,bestest_ce_reporting.may_sept_mean_zone_humidity_ratio,bestest_ce_reporting.may_sept_mean_zone_relative_humidity,bestest_ce_reporting.may_sept_sum_clg_consumption_compressor,bestest_ce_reporting.may_sept_sum_clg_consumption_cond_fan,bestest_ce_reporting.may_sept_sum_clg_consumption_indoor_fan,bestest_ce_reporting.may_sept_sum_clg_consumption_total,bestest_ce_reporting.may_sept_sum_evap_coil_load_latent,bestest_ce_reporting.may_sept_sum_evap_coil_load_sensible,bestest_ce_reporting.may_sept_sum_evap_coil_load_total,bestest_ce_reporting.rh_max_date,bestest_ce_reporting.rh_max_hr,bestest_ce_reporting.rh_max_relative_humidity,bestest_ce_reporting.rh_min_date,bestest_ce_reporting.rh_min_hr,bestest_ce_reporting.rh_min_relative_humidity,bestest_ce_reporting.weather_odb_c,bestest_ce_reporting.weather_odb_date,bestest_ce_reporting.weather_odb_hr,bestest_ce_reporting.weather_outdoor_humidity_ratio_c,bestest_ce_reporting.weather_outdoor_humidity_ratio_date,bestest_ce_reporting.weather_outdoor_humidity_ratio_hr,bestest_ce_reporting.zone_load_latent,bestest_ce_reporting.zone_load_sensible,bestest_ce_reporting.zone_load_total,standard_report_legacy.total_electricity,standard_report_legacy.total_natural_gas,standard_reports.eui,standard_reports.time_setpoint_not_met_during_occupied_cooling,standard_reports.time_setpoint_not_met_during_occupied_heating,standard_reports.time_setpoint_not_met_during_occupied_hours,standard_reports.total_building_area
LHS Autogenerated 29,0b96067a-96af-4a6a-96d1-ff065afabd97,2016-10-26T20:06:06Z,2016-10-26T20:06:50Z,completed,completed normal,CE200 - Full-Load Test at AHRI Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.102387231882,tbd,863.0155231229129,3380.1179103547984,,,,,,,,,,,,,,,,,,,15916.982087145861,5127.529160800168,6392.161604912398,1.6468602810032806,0.011116561888407558,26.691897819029215,1.635749230527191,0.011093265194608936,26.691614934588063,1.625956208913502,0.01100189133097259,26.691376111169216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.2083615149916,53702.982702724476,69589.45599649048,3191.25,0.0,281.0058118380793,,,,516.6677000020667
LHS Autogenerated 34,271c87ae-7e45-4e1f-8ae4-af200a3d68d3,2016-10-26T20:06:06Z,2016-10-26T20:06:50Z,completed,completed normal,CE185 - Increased Outdoor Dry-Bulb Temperature at Low Sensible Heat Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654.4264876395305,tbd,863.0155231229129,3517.442010762441,,,,,,,,,,,,,,,,,,,38544.04992203286,2347.7160436208533,5410.116709412819,1.3095362532695582,0.01460774991010068,22.193676305456815,1.292659892625696,0.014557864086267847,22.19353712876365,1.2747665595891562,0.014446101748312162,22.192702143712282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060.3614092278995,18709.285116129427,57227.67301246519,3320.8333333333335,0.0,292.4162841558287,,,,516.6677000020667
LHS Autogenerated 33,3e74ea56-204b-40b6-8e6a-0af3e9c15709,2016-10-26T20:06:06Z,2016-10-26T20:06:50Z,completed,completed normal,CE180 - Increased Latent Load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.0705041264757,tbd,863.0155231229129,2742.086027249392,,,,,,,,,,,,,,,,,,,38544.049972326735,2329.0746048996593,5391.4752608973195,1.6680787120336567,0.014415495631172233,22.19324010303552,1.651443046460171,0.014386016410235382,22.19304130863648,1.6344978044355476,0.01428293567893718,22.192789841206185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060.386383003911,18476.666290284447,56995.36549694001,2588.9583333333335,0.0,227.97096381458488,,,,516.6677000020667
LHS Autogenerated 2,03a1eb99-0ff3-4b32-8a48-f01087fc8e3c,2016-10-26T20:07:08Z,2016-10-26T20:08:00Z,completed,completed normal,CE430 - Enthalpy Control,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,"tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd",1.920859783874623,23.210444759156783,19.914143835616347,0.011607902527993237,0.009380317426464776,51.64588214373367,21206.91368032478,tbd,10862.091928959257,32069.005609284963,21370.37185820317,46862.856773945605,68233.22863214888,,,,,tbd,tbd,tbd,tbd,tbd,tbd,1-Jan,1.0,1239.9648320731494,24-Oct,13.0,11373.717900767882,20-Jul,15.0,33059.131596184176,20-Jul,15.0,23463.694086696014,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,34.775,20-Jul,15.0,0.021867908064606263,9.0,9.0,,,,589.030612244898,0.0,51.86714465847503,,,,2109.7264416751054
LHS Autogenerated 26,069f2824-f9c5-42b2-8da1-29e78e813427,2016-10-26T20:06:07Z,2016-10-26T20:07:03Z,completed,completed normal,CE320 - Infiltration,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,"tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd",2.266986130550304,24.243313891492633,19.914143835616347,0.011607902527993237,0.010041281396213804,51.45505314165513,28463.061609859742,tbd,10862.091928959257,39325.153538822175,35613.1681400775,61652.67190204716,97265.8400421247,,,,,tbd,tbd,tbd,tbd,tbd,tbd,1-Jan,1.0,1239.9648320731494,2-Oct,10.0,22755.86725017477,2-Oct,10.0,40096.66450346692,24-Apr,15.0,31528.634540023773,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,34.775,20-Jul,15.0,0.021867908064606263,9.0,9.0,,,,722.295918367347,0.0,63.60183342832663,,,,2109.7264416751054
LHS Autogenerated 31,40d7584f-3c59-4bbd-bcb6-e53a95212d38,2016-10-26T20:06:07Z,2016-10-26T20:07:03Z,completed,completed normal,CE510 - High PLR,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,"tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd",2.5995045823914027,24.984405305342,19.914143835616347,0.011607902527993237,0.008482954539566897,43.08554909481504,39808.82995921567,tbd,10862.091928959257,50670.92188817677,38116.91152590936,104376.84213295039,142493.75365885973,,,,,tbd,tbd,tbd,tbd,tbd,tbd,1-Jan,1.0,1239.9648320731494,17-Jun,14.0,9064.077194868914,17-Jun,14.0,31352.568624679792,22-Apr,1.0,22316.544347123014,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,34.775,20-Jul,15.0,0.021867908064606263,9.0,9.0,,,,930.7142857142857,0.0,81.95413190644447,,,,2109.7264416751054
LHS Autogenerated 14,4a10b762-2e2a-4fd7-bef4-2398b08043be,2016-10-26T20:06:06Z,2016-10-26T20:06:52Z,completed,completed normal,CE110 - Reduced Outdoor Dry-Bulb Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.281538855099,tbd,863.0155231229129,2650.297061978014,,,,,,,,,,,,,,,,,,,0.1313439698578618,4627.880567838928,4627.880567838928,1.427449168679373,0.0063542994142014335,22.200000000000188,1.4205242030555312,0.006354299414201446,22.199999999999775,1.4161374259124673,0.006354299414201383,22.199999999999413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2685177352977916e-12,47384.56058655311,47384.69170575027,2502.2916666666665,0.0,220.339522521685,,,,516.6677000020667
LHS Autogenerated 25,57b83a14-4cf4-4b5a-926c-bff5c44fa056,2016-10-26T20:06:06Z,2016-10-26T20:06:50Z,completed,completed normal,CE160 - Increased Thermostat Setpoint at High Sensible Heat Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928.787659627814,tbd,863.0155231229129,2791.80318275073,,,,,,,,,,,,,,,,,,,9636.060999034136,4621.264266693367,5386.864715539048,1.6308905502113888,0.009976066088912851,26.695539617291274,1.6203785565741755,0.009954693540250626,26.695082748421797,1.6112876113996948,0.009872510628719128,26.694624494510112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3047612013312,47317.45234852163,56937.20600687097,2635.8333333333335,0.0,232.09854624463892,,,,516.6677000020667
LHS Autogenerated 32,5b24f243-61b4-4032-89d1-ae5b365b6ce1,2016-10-26T20:06:07Z,2016-10-26T20:07:08Z,completed,completed normal,CE410 - Compressor Lockout,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,"tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd","tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd",1.7586448216737633,24.099969717801184,19.914143835616347,0.011607902527993237,0.009171252959712497,47.9538131904797,24135.69092147077,tbd,10862.091928959257,34997.7828504315,23122.446648502693,55131.30612495067,78253.7527734532,,,,,tbd,tbd,tbd,tbd,tbd,tbd,1-Jan,1.0,1239.9648320731494,10-Jul,13.0,10596.29529817346,20-Jul,15.0,33059.13159618439,20-Jul,15.0,23463.694086696138,,,,,,,,,,,,,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,34.775,20-Jul,15.0,0.021867908064606263,9.0,9.0,,,,642.8061224489796,0.0,56.6023521483003,,,,2109.7264416751054
LHS Autogenerated 27,64395485-878c-4bbe-9b02-8726aad854e5,2016-10-26T20:06:07Z,2016-10-26T20:06:53Z,completed,completed normal,CE120 - Increased Thermostat Setpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.5917620049793,tbd,863.0155231229129,2571.6072851278927,,,,,,,,,,,,,,,,,,,0.16481352537391195,4622.554544219987,4622.554544219989,1.4699175493723808,0.00796000701559232,26.70000000000021,1.4619169226058475,0.007960007015592298,26.699999999999843,1.457389612890922,0.007960007015592312,26.699999999999235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0215899237664417e-12,47317.38084828346,47317.5453819002,2428.125,0.0,213.80876987679946,,,,516.6677000020667
