name,_id,run_start_time,run_end_time,status,status_message,bestest_space_heating_equipment_performance.case_num,BestestHeReporting.average_fuel_consumption,BestestHeReporting.fan_energy,BestestHeReporting.maximum_zone_temperature,BestestHeReporting.mean_zone_temperature,BestestHeReporting.minimum_zone_temperature,BestestHeReporting.total_furnace_input,BestestHeReporting.total_furnace_load,standard_report_legacy.total_electricity,standard_reports.eui,standard_reports.time_setpoint_not_met_during_occupied_cooling,standard_reports.time_setpoint_not_met_during_occupied_heating,standard_reports.time_setpoint_not_met_during_occupied_hours,standard_reports.total_building_area
LHS Autogenerated 9,0ba5693c-1235-4fa9-a8f2-6f1a48e5d1ea,2017-05-16T19:54:16.575Z,2017-05-16T19:54:37.476Z,completed,completed normal,HE100 - Base-case Building and Mechanical Systems,0.00026315789473684215,0.0,19.875456304796433,19.87545626845523,19.875456268222905,77.76,77.76,,,,,,
LHS Autogenerated 1,1edb4ff0-e2e1-46fb-af84-6e5059f95577,2017-05-16T19:54:15.847Z,2017-05-16T19:54:36.681Z,completed,completed normal,HE110 - Efficiency Test,0.0003289473684210526,0.0,19.875456304796433,19.87545626845523,19.875456268222905,97.2,77.76,,,,,,
LHS Autogenerated 2,313e9d6c-7f1e-4925-82f9-d4105552b4e1,2017-05-16T19:54:15.848Z,2017-05-16T19:54:36.591Z,completed,completed normal,HE170 - Draft Fan Test,0.00012626570283734027,475.0,20.35080490933337,20.026532415326955,19.999999999999915,37.31,31.226,,,,,,
LHS Autogenerated 7,38ce04dc-9911-4554-a0f4-4a8bad68123b,2017-05-16T19:54:16.534Z,2017-05-16T19:54:37.518Z,completed,completed normal,HE150 - Circulating Fan Test,0.00012626570283734027,433.3333333333333,20.35080490933337,20.026532415326955,19.999999999999915,37.31,31.226,,,,,,
LHS Autogenerated 10,66fa8c47-a80e-4a68-afa8-76e2330e6f4f,2017-05-16T19:54:17.235Z,2017-05-16T19:54:37.621Z,completed,completed normal,HE130 - No-Load Test,3.384232185401776e-08,0.0,19.9984141649503,19.998414153968287,19.998414153900594,0.01,0.01,,,,,,
LHS Autogenerated 11,6b2a22b1-6bf1-48c3-916c-8eed74056cec,2017-05-16T19:54:17.241Z,2017-05-16T19:54:38.532Z,completed,completed normal,HE230 - Undersized Furnace,0.0001469095191682911,483.33333333333337,20.001411402225735,15.3750299090923,1.8576146684294725,43.41,35.814,,,,,,
LHS Autogenerated 6,72b1470c-7372-4443-bce8-8ed2e2d3be03,2017-05-16T19:54:16.425Z,2017-05-16T19:54:37.699Z,completed,completed normal,HE160 - Cycling Circulating Fan Test,0.00012968377734459607,172.22222222222223,20.001288561605357,20.00029234964286,19.999658228549468,38.32,31.19,,,,,,
LHS Autogenerated 8,7b8e7886-8f31-4407-a506-e7b992441092,2017-05-16T19:54:16.534Z,2017-05-16T19:54:37.307Z,completed,completed normal,HE120 - Stead Par-Load Test,0.00012988683127572017,0.0,20.00000000000014,20.000000000000007,19.999999999999872,38.38,31.189,,,,,,
LHS Autogenerated 3,823e05e5-0f78-40bb-8c09-adadc78dcb1e,2017-05-16T19:54:16.416Z,2017-05-16T19:54:37.700Z,completed,completed normal,HE220 - Setback Thermostat,0.00016887318605154862,277.77777777777777,20.00140801600231,18.536820123570024,14.999999999999822,49.9,40.741,,,,,,
LHS Autogenerated 4,e6db5c15-ee89-48b6-a138-f8a62476d248,2017-05-16T19:54:16.418Z,2017-05-16T19:54:37.602Z,completed,completed normal,HE210 - Realistic Weather Data,0.00017858593242365173,294.44444444444446,20.001408372470884,20.000271801908607,19.9999999999998,52.77,43.033,,,,,,
LHS Autogenerated 5,ed18c7bc-854a-46d4-a2a1-e400c90f3e45,2017-05-16T19:54:16.418Z,2017-05-16T19:54:37.578Z,completed,completed normal,HE140 - Periodically Varying Part-Load Test,0.00013208658219623134,0.0,20.000000000000288,19.999985739095123,19.99965815684285,39.03,31.189,,,,,,
